0,1,2
269.2243717273989,266.714352021478,260.92633399597185
269.0411621371784,266.5524331937662,260.8081782202704
268.7796720856818,266.3213308669412,260.63953770404197
268.41991507215783,266.00338116888895,260.40752272630095
267.93357688720874,265.57356028078124,260.0938728489844
267.2906777797076,265.0053723944471,259.67925349061386
266.4579069150688,264.2693777230298,259.1421817828801
265.3952912917897,263.3302485223013,258.4568782838117
264.0628579083676,262.15265704803363,257.59756355143753
262.41563713811206,260.6968595879702,256.53523571354003
260.40366272914474,258.918696461826,255.23767046765508
257.9786339713166,256.77547997865884,253.67371765473413
255.0839224458321,254.2171625008123,251.80685639865132
251.66623081735446,251.1966403693157,249.60271411011166
247.66726512535897,247.66239395716983,247.02369576957378
243.02873140932084,243.56290363737548,244.03220635749634
237.68900462525687,238.84370580424775,240.58850256750696
233.31899677463892,234.9363062010911,237.50628199619084
228.96782205164817,231.02355881041802,234.30788534380355
224.85244820154813,227.26543157550117,231.1709295395755
221.8848431506675,224.4130404475434,228.63139557499608
218.57564733574907,221.23232043213997,225.79954463009503
214.90397008196734,217.70319191138094,222.65749946805926
212.36284475700998,215.2792982731007,220.44237510005158
209.7594891848743,212.79977786547207,218.16485556390762
207.32752351536578,210.49123242153289,216.0442164452312
205.54322558302997,208.8163255595233,214.50523570876038
203.60479218248642,206.9967329089458,212.83331107761828
201.96859959278976,205.46319035840943,211.43551053764435
201.1921638815409,204.74187908974193,210.80904430663819
200.35661133511044,203.96564809138314,210.13487972741248
199.46006007839384,203.1327490953188,209.41149841127535
198.5006282362865,202.24143383353447,208.63738196953474
197.47643393368384,201.28995403801594,207.81101201349878
196.38578997221626,200.27674229606066,206.9310272291678
195.66778482682932,199.61290165259814,206.35815822560465
195.53595188783854,199.49836098757507,206.267842454738
195.3964525427933,199.3771595042881,206.17227460212393
195.2491266397052,199.24915805757823,206.07134495124998
195.09382098971574,199.11422355207597,205.96494855588688
195.15857067754237,199.17746731311007,206.0115819008452
195.40334618384435,199.40288900716868,206.18342401448172
195.6601411183408,199.63937978206033,206.3637042434217
195.9291341347951,199.88710416582387,206.55254800969277
196.21045426092533,200.1461809842651,206.75004589587041
196.5041312723587,200.41663765872377,206.95621880562595
196.81015524388613,200.69846504875335,207.17105977106894
197.17605104950783,201.0270274276592,207.42154282576683
197.6387321761333,201.42978160081924,207.72861062243035
198.11844314638188,201.8473598940758,208.04698062326415
198.61535064714062,202.27990740485228,208.37676345343147
199.13052425260116,202.72835517494926,208.71866895772928
199.6652002238422,203.19377934359068,209.07351760611772
200.21200626124195,203.65341677237492,209.4096175168173
200.77840632431545,204.12464067926769,209.74975371022546
201.36860653899538,204.61566543216276,210.10418243906528
201.9846072610772,205.12815525310842,210.47410496274694
202.62858574856944,205.66392154025235,210.86082877450602
203.3022565921539,206.2243907696359,211.2653835252656
203.98262782705558,206.7834664708382,211.66800534737305
204.58928716047217,207.25065987494662,212.00023977992188
205.2231029812568,207.73876671609995,212.34734634856716
205.88500592047947,208.2485036810342,212.70983470950043
206.57594903405524,208.78060472604537,213.0882267997854
207.16268022226967,209.1798254409086,213.34061931003382
207.75285182712133,209.57088520048777,213.5807366280112
208.3681470405355,209.97859237624797,213.83107574157543
208.96077098100378,210.35737155317346,214.0492116987689
209.39058144159344,210.5740406625886,214.1114952284705
209.8381539284625,210.79966367789538,214.17635264083148
210.2941230622298,211.02768065595868,214.23721535865172
210.46806408899565,211.05772060500178,214.0990495224601
210.64897795404374,211.0889647765942,213.95534498128427
210.80038910540594,211.11140975769962,213.8102193414188
210.8191152793689,211.09679667915833,213.67558119351594
210.83856993238592,211.08161512775905,213.53570539958798
210.8877851978201,211.20064338428472,213.56065228306497
210.9534517724963,211.39192860946574,213.67206118591818
211.19852496855376,211.7884543562913,213.98504177052908
211.78819212969177,212.5752257905882,214.6839041378424
212.3996604101943,213.39108566508006,215.40860477951335
213.03349402648698,214.23678679321097,216.15981239417886
213.81688962637085,215.22780745517693,217.0678011729051
215.0665564119253,216.65128534257482,218.45679449021483
216.36057238670148,218.12528076865658,219.89508152979454
217.70002060458356,219.6510274248932,221.38386609623015
219.2125770257742,221.28940850144357,223.02329957009832
220.85274711835498,223.01974715729912,224.77819776503637
222.54876983321512,224.80900894057785,226.5928554120361
224.3042209679488,226.62047075869546,228.43229558479135
226.1213600570036,228.4401989554957,230.28330049331262
227.9984751176901,230.3199885792753,232.19539913899038
229.8431942123377,232.16516074590388,234.07102387516957
231.6625954374844,233.98293613846488,235.9175963277708
233.54019022664679,235.85885309277214,237.82323141633427
235.23784335148235,237.59205774531927,239.59624935246137
236.94196086965832,239.33784931459385,241.3840963396448
238.57750758160424,241.03011923609563,243.1214655176071
240.08849587391484,242.61985791198873,244.76032914068745
241.60712535349285,244.21760949813765,246.40746923491943
242.9538970845798,245.63123425465176,247.86678469092368
244.29543454880817,247.03936491811152,249.320428475663
245.52170979092907,248.30052616358992,250.64181272174815
246.66829649894322,249.46253262154835,251.87245290783764
247.7670818365908,250.57762099312748,253.05033436876545
248.70855233289714,251.54070554984744,254.0522971198083
249.6247606833326,252.47794799823438,255.02737455763807
250.4515321332681,253.31966375129593,255.88384319121468
251.19322133308108,254.06936390163233,256.62046894775904
251.85753961212427,254.7314302623059,257.2239480431801
252.41197846197224,255.2853604723,257.69824191031233
252.8869691135809,255.76790269426402,258.08992801399324
253.2240668021032,256.1452313454916,258.35090814419766
253.52688874925775,256.45549644432833,258.54341773529717
253.79619047477797,256.70085481000103,258.6699576281942
254.0084253500288,256.8753283779678,258.72992117451616
