0,1,2
264.224980444831,261.4475961138804,257.93486800558406
264.13724939682555,261.3710734285613,257.86701188563063
264.01203326467237,261.2618546867877,257.7701626962425
263.83976138858895,261.111591959252,257.6369179516066
263.60687533388364,260.90845901276856,257.4567907968211
263.29901911088274,260.63993395337604,257.2186775031663
262.900241619949,260.2921035655619,256.910240594287
262.39140154151744,259.84827199071105,256.516675098557
261.7533575560234,259.2917433702084,256.0231760443501
260.9645756789564,258.60373486311204,255.41308783858685
260.0011292608604,257.7633766461531,254.66790426673444
258.83988920726125,256.75049455683836,253.7697359880779
257.4537386487754,255.5414361287964,252.69760929281344
255.81715582598318,254.11394021720716,251.43178421877278
253.90222631451917,252.44365869492367,249.95067018233436
251.68103569001804,250.50624343479893,248.2326765998766
249.12407441815066,248.27595498813469,246.25497914014252
246.4411542896396,245.8748048244766,244.16362760248302
243.4802206655472,243.20150168783934,241.84935300851643
240.12058179334718,240.16006539742366,239.20936130765517
236.31127979906293,236.69468963785644,236.186904477193
232.06350221373188,232.83042644782148,232.8165430838637
227.3504331747611,228.542881058844,229.07700031969028
223.1957588465531,224.8723141446555,225.89774657853837
218.75993624832907,220.9705544028066,222.5218467814519
214.58985734624764,217.29925042175086,219.3939360195656
211.46633227513604,214.5413568448292,217.16170261214765
208.07298343156506,211.54522434488794,214.7366391088326
205.17710634018732,208.98163954728219,212.71572143025585
203.71620561702557,207.6702259567167,211.82808846475848
202.14407375647974,206.25896299038817,210.87287224547356
200.45716992102612,204.7446721281021,209.8479213845198
198.6519532731409,203.12417484966412,208.75108449401594
196.72488297530037,201.39429263487975,207.58021018608073
194.67278448351772,199.55217577598847,206.33336963019988
193.21109760171038,198.24111764594275,205.49532454283786
192.68757114361563,197.77380130885555,205.3017921592459
192.1336003486296,197.27930939013137,205.09700539682677
191.54854923151302,196.7570741891547,204.88072915048235
190.93180945855866,196.20655268794556,204.65273853707532
190.76028999936085,196.02666625881884,204.63095313765314
190.94995934612177,196.1470875316097,204.7770334205877
191.14894219458282,196.2734219566733,204.93028681286597
191.3573769782952,196.4057574256206,205.0908199337845
191.575363677046,196.54415741572623,205.25870978616865
191.80292536309375,196.68863657559197,205.43397413990115
192.04005434568558,196.8391900223506,205.61660707168778
192.3673109211403,197.07137400913126,205.82829089161524
192.84732668256976,197.44394475155954,206.08585767851912
193.34501032125496,197.83022865650298,206.35290469241104
193.86053476911036,198.23035994741196,206.62952472507226
194.39500967258675,198.64519989142647,206.9163131904327
194.9497176100494,199.075743979137,207.2139582942036
195.53842990361326,199.55231023339138,207.5095545880947
196.15463797002636,200.05678616537415,207.81311335883754
196.79673912218905,200.58246019468385,208.1294276803583
197.46690962288307,201.13111397958633,208.4595696315388
198.16751819350344,201.70468673996288,208.804706100958
198.90043020214878,202.30470561146998,209.16575601337166
199.63395652175606,202.91007756877886,209.526825334438
200.258015760404,203.44710061210674,209.83272658195224
200.91001037546127,204.00816294517955,210.1523211873469
201.5908976899015,204.5940883752016,210.48607841102833
202.3016580947217,205.20572056015322,210.8344788208825
202.86657764430836,205.71263417497914,211.10346725504186
203.42709883033436,206.22003194878843,211.3686720005451
204.01148140642542,206.74902964870373,211.64516651356706
204.56318854972193,207.25043230173932,211.89454867959864
204.91680774496967,207.58025599425955,212.0047678905859
205.28504034313522,207.9237097345131,212.11954193841765
205.65999774202817,208.27311716194032,212.233866380231
205.79735551471424,208.3912445125756,212.19687667248675
205.94021959924382,208.51410727801218,212.15840414464532
206.0805116215439,208.624550758063,212.11819944718732
206.19516206343576,208.67396775076278,212.07564118442951
206.31427259662127,208.7253071459868,212.03142733505496
206.60544506775554,208.89644036384138,212.13653422601206
206.99185586769215,209.13328770248455,212.32152054519344
207.56062886885013,209.553307577041,212.69950279872575
208.46875189430824,210.31935369370052,213.44427411752042
209.410449959688,211.11372199604148,214.21658105215127
210.38659199234573,211.93714546671973,215.01713622872182
211.47286785223673,212.8941639792075,215.96211837527
212.8568664422466,214.24463253659934,217.3404800982391
214.28998149758982,215.64302761831118,218.76775824082875
215.77341249405143,217.0905196405159,220.24514739349695
217.33469296736587,218.65229358094936,221.85522538436675
218.96538230903673,220.30599820955257,223.56926839935744
220.65160142549573,222.01601635124862,225.341679627206
222.3406753599427,223.74278492836785,227.12947979891285
224.01219300763884,225.47118767791437,228.91620623530795
225.73888028743625,227.25663759291965,230.7619048520431
227.43752851968483,229.0177737804933,232.57577879435635
229.1145413275474,230.76093275658403,234.36478592363375
230.84519340466002,232.55984668769102,236.21101446150598
232.46939002983567,234.248684425988,237.93379429349704
234.1093659692331,235.95401944397804,239.67177316767814
235.70518276861515,237.6099638170936,241.35725428928865
237.21385482944993,239.17008629943712,242.94183883216982
238.73051818138126,240.73796972782688,244.5343689956904
240.12076839282867,242.1123337234569,245.93821069845566
241.5056153570598,243.48135621410287,247.33659633028486
242.76874555887943,244.71071341981903,248.6042750396612
243.94798302094128,245.8455930530793,249.7825849787735
245.06884206405448,246.93330498417748,250.91014503021782
245.98305933271703,247.86601684510583,251.86812523680308
246.8727457317567,248.77370157753816,252.80040029828277
247.63687922175126,249.58284305363998,253.6212140258944
248.28547235133868,250.29435121493339,254.33122611002815
248.83621173762663,250.90403773960443,254.92349779139573
249.28759915071907,251.41123645775662,255.39929064033987
249.67019860077787,251.85091429230658,255.7997346556722
249.93700078737163,252.18989158249636,256.08283359032276
250.13638576609952,252.46341750290634,256.29361250637385
250.2707922546337,252.67366742323847,256.4346949412734
250.3020629495253,252.79992164413278,256.503797437661
250.27623974253103,252.8769701498754,256.53178327587796
250.18225727549554,252.90056730552334,256.50456706980793
250.03293499054885,252.879824647771,256.4320580212153
249.88768576018603,252.85463510906328,256.36020865191904
249.6874501038302,252.7671690488628,256.24729075351075
249.50135395849867,252.68587934778319,256.14234647927333
249.3354453551065,252.60961535912378,256.05134316807823
249.2289370027786,252.53304340842197,256.0115367244794
249.13043361423902,252.46222645889304,255.97472205694874
249.03945708236805,252.39682078542998,255.9407204776774
249.01550360453976,252.36324939876545,255.95445172642602
249.13720097975894,252.3964738605143,256.0752217175739
249.24919863310726,252.42705021224685,256.1863659027225
249.35216992985514,252.45516228864838,256.28855251582183
249.44675328551838,252.48098438281147,256.38241510739886
249.53356148579297,252.50468379066078,256.4685617934703
249.6131746966039,252.52641890263445,256.5475683188581
249.68613114417073,252.54633665925942,256.6199688082767
249.75294808486038,252.5645782761071,256.68627657638666
249.81410549530156,252.58127479105002,256.7469679421972
249.8700553923194,252.5965496086866,256.8024914779793
